failure_mode,n,mean_delta_eq,mean_dd_improve
OK / not a failure,27,0.03086034739373209,0.032784308381777434
"Tradeoff: lower risk, lower return",13,-0.14839028787741812,0.045217129280799455
Missed trend (too conservative),10,-0.12128649017293233,0.0008778948338048542
