pair_key,eq_slope__avoid_earnings,eq_slope__buy_hold,eq_slope__flat,eq_slope__ppo,eq_vol__avoid_earnings,eq_vol__buy_hold,eq_vol__flat,eq_vol__ppo,final_equity__avoid_earnings,final_equity__buy_hold,final_equity__flat,final_equity__ppo,max_drawdown__avoid_earnings,max_drawdown__buy_hold,max_drawdown__flat,max_drawdown__ppo,symbol,delta_eq_vs_buyhold,delta_eq_vs_avoid,dd_improve_vs_buyhold,dd_improve_vs_avoid,failure_mode
"('AAPL', 0)",0.00020734112212563861,0.0011528958683756634,-3.8341546134731406e-18,0.0009422857656079676,0.010171403388123373,0.011961351103219267,0.0,0.009097495655117633,1.11230255609259,1.2535978634789144,1.0,1.1405660253869976,0.08974287768868713,0.13796942987836264,0.0,0.1086903271783714,AAPL,-0.11303183809191686,0.028263469294407484,0.029279102699991233,-0.01894744948968427,"Tradeoff: lower risk, lower return"
"('AAPL', 1)",0.0023602183807614656,0.002731854451631407,-3.8341546134731406e-18,0.002310753007247693,0.03388322587098655,0.03400616365437969,0.0,0.03377026977136461,1.3455501710783417,1.4617565300253053,1.0,1.2759207230435075,0.4072594250030307,0.4072594250030307,0.0,0.4072594250030307,AAPL,-0.1858358069817978,-0.06962944803483428,0.0,0.0,Missed trend (too conservative)
"('AAPL', 2)",0.0008002611806605235,0.001981214224149539,-3.8341546134731406e-18,0.0008172689914378046,0.009581784983363572,0.010989166585926564,0.0,0.008237746003376184,1.2417675509164452,1.491345490177366,1.0,1.2785269018101275,0.08859749520214598,0.08859749520215472,0.0,0.07782948304652891,AAPL,-0.21281858836723844,0.03675935089368232,0.010768012155625811,0.010768012155617068,Missed trend (too conservative)
"('AAPL', 3)",0.0014553270070223208,0.0015852089732669404,-3.8341546134731406e-18,0.0010814191033217703,0.009705081226088735,0.012324175970085822,0.0,0.007928485720802392,1.3459238694131102,1.3198873894808374,1.0,1.2296405312417042,0.08335813469246593,0.18918570173762958,0.0,0.09323812976288547,AAPL,-0.09024685823913314,-0.1162833381714059,0.09594757197474411,-0.009879995070419534,"Tradeoff: lower risk, lower return"
"('AAPL', 4)",0.000850873084244284,0.0021666004807481903,-3.8341546134731406e-18,0.001157347496420565,0.011932602169851736,0.013606648328789273,0.0,0.010519016976936147,1.2430286467314502,1.5107822375485978,1.0,1.3626261216118931,0.10932811573431153,0.10932811573432387,0.0,0.10652669169100831,AAPL,-0.14815611593670464,0.11959747488044292,0.0028014240433155563,0.002801424043303219,Missed trend (too conservative)
"('AIG', 0)",0.00017847045099972223,-4.542811648452326e-05,-3.8341546134731406e-18,0.0004106433152812458,0.008187292947287041,0.01094490522733578,0.0,0.008332085885733179,1.0230881036717632,0.9510930998500816,1.0,1.0308447976142368,0.09875133058260456,0.12006612085104074,0.0,0.11045518558017851,AIG,0.07975169776415514,0.00775669394247358,0.009610935270862223,-0.011703854997573954,OK / not a failure
"('AIG', 1)",-0.0018462543019528135,-0.0011402767432031886,-3.8341546134731406e-18,-2.29935714497985e-05,0.10798203678780846,0.11437189979740602,0.0,0.10752810283666613,0.31103807763148705,0.628314835496339,1.0,0.9225839235992007,0.9300000639043824,0.9300000639043824,0.0,0.9300000639043824,AIG,0.2942690881028617,0.6115458459677137,0.0,0.0,OK / not a failure
"('AIG', 2)",5.5020992480143654e-05,-5.740264939936751e-05,-3.8341546134731406e-18,0.00016822259699676817,0.00784943792575727,0.01085191269635987,0.0,0.007467371963584081,1.16230270867742,1.1043885225597674,1.0,1.0711837646092133,0.10408446881512788,0.12412488605510534,0.0,0.1219634039090063,AIG,-0.03320475795055411,-0.09111894406820675,0.002161482146099042,-0.017878935093878418,OK / not a failure
"('AIG', 3)",0.0008819930733964114,0.0010686853107623473,-3.8341546134731406e-18,0.00044215353757351075,0.01026040056269913,0.01357650540718734,0.0,0.009223722326970695,1.1819670689580504,1.1828807055832222,1.0,1.0882653621543745,0.1586363458454124,0.1586363458454088,0.0,0.11094034161689978,AIG,-0.0946153434288477,-0.09370170680367584,0.04769600422850903,0.04769600422851261,"Tradeoff: lower risk, lower return"
"('AIG', 4)",-0.0003017635209943151,0.00015151349824462198,-3.8341546134731406e-18,-3.4832675550779977e-05,0.009409187234853848,0.010196618200503434,0.0,0.008864474829837151,1.0014605087472002,1.1513577864983662,1.0,1.0635035445013294,0.16328996939341986,0.13519673816776745,0.0,0.13687148497296864,AIG,-0.08785424199703673,0.06204303575412928,-0.0016747468052011882,0.02641848442045122,Missed trend (too conservative)
